,suffix,tld,punycode_tld,punycode_etld,from_psl,from_iana,type,type_tld,type_etld,manager_etld,manager_tld
6206,onion,onion,,,True,False,other,,icann,onion,
7717,ايران,ايران,,xn--mgba3a4fra,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7729,澳门,澳门,,xn--mix082f,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7745,السعودیة,السعودیة,,xn--mgberp4a5d4a87g,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7746,السعودیۃ,السعودیۃ,,xn--mgbqly7c0a67fbc,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7747,السعوديه,السعوديه,,xn--mgbqly7cvafr,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7752,سوريا,سوريا,,xn--mgbtf8fl,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7763,臺灣,臺灣,,xn--nnx388a,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
7765,اليمن,اليمن,,xn--mgb2ddes,True,False,orphan-punycode,,icann,"// A-Label (""<Latin renderings>"", <language name>[, variant info])",
8459,kids,kids,,,True,False,other,,icann-new,kids,
9212,active,active,,,False,True,generic,generic,,,Not assigned
9213,afamilycompany,afamilycompany,,,False,True,generic,generic,,,Not assigned
9214,aigo,aigo,,,False,True,generic,generic,,,Not assigned
9215,an,an,,,False,True,country-code,country-code,,,Retired
9216,bl,bl,,,False,True,country-code,country-code,,,Not assigned
9217,blanco,blanco,,,False,True,generic,generic,,,Not assigned
9218,bnl,bnl,,,False,True,generic,generic,,,Not assigned
9219,boots,boots,,,False,True,generic,generic,,,Not assigned
9220,bq,bq,,,False,True,country-code,country-code,,,Not assigned
9221,cartier,cartier,,,False,True,generic,generic,,,Not assigned
9222,caseih,caseih,,,False,True,generic,generic,,,Not assigned
9223,ceb,ceb,,,False,True,generic,generic,,,Not assigned
9224,chloe,chloe,,,False,True,generic,generic,,,Not assigned
9225,chrysler,chrysler,,,False,True,generic,generic,,,Not assigned
9226,csc,csc,,,False,True,generic,generic,,,Not assigned
9227,dodge,dodge,,,False,True,generic,generic,,,Not assigned
9228,doha,doha,,,False,True,generic,generic,,,Not assigned
9229,doosan,doosan,,,False,True,generic,generic,,,Retired
9230,duck,duck,,,False,True,generic,generic,,,Not assigned
9231,duns,duns,,,False,True,generic,generic,,,Not assigned
9232,eh,eh,,,False,True,country-code,country-code,,,Not assigned
9233,epost,epost,,,False,True,generic,generic,,,Not assigned
9234,esurance,esurance,,,False,True,generic,generic,,,Not assigned
9235,everbank,everbank,,,False,True,generic,generic,,,Not assigned
9236,flsmidth,flsmidth,,,False,True,generic,generic,,,Retired
9237,fujixerox,fujixerox,,,False,True,generic,generic,,,Not assigned
9238,glade,glade,,,False,True,generic,generic,,,Not assigned
9239,goodhands,goodhands,,,False,True,generic,generic,,,Not assigned
9240,honeywell,honeywell,,,False,True,generic,generic,,,Not assigned
9241,htc,htc,,,False,True,generic,generic,,,Not assigned
9242,iinet,iinet,,,False,True,generic,generic,,,Retired
9243,intel,intel,,,False,True,generic,generic,,,Not assigned
9244,iselect,iselect,,,False,True,generic,generic,,,Not assigned
9245,iveco,iveco,,,False,True,generic,generic,,,Not assigned
9246,iwc,iwc,,,False,True,generic,generic,,,Not assigned
9247,jcp,jcp,,,False,True,generic,generic,,,Not assigned
9248,jlc,jlc,,,False,True,generic,generic,,,Not assigned
9249,ladbrokes,ladbrokes,,,False,True,generic,generic,,,Not assigned
9250,lancome,lancome,,,False,True,generic,generic,,,Not assigned
9251,liaison,liaison,,,False,True,generic,generic,,,Not assigned
9252,lixil,lixil,,,False,True,generic,generic,,,Not assigned
9253,lupin,lupin,,,False,True,generic,generic,,,Not assigned
9254,mcd,mcd,,,False,True,generic,generic,,,Not assigned
9255,mcdonalds,mcdonalds,,,False,True,generic,generic,,,Not assigned
9256,meo,meo,,,False,True,generic,generic,,,Not assigned
9257,metlife,metlife,,,False,True,generic,generic,,,Not assigned
9258,mf,mf,,,False,True,country-code,country-code,,,Not assigned
9259,mobily,mobily,,,False,True,generic,generic,,,Not assigned
9260,montblanc,montblanc,,,False,True,generic,generic,,,Not assigned
9261,mopar,mopar,,,False,True,generic,generic,,,Not assigned
9262,movistar,movistar,,,False,True,generic,generic,,,Not assigned
9263,mtpc,mtpc,,,False,True,generic,generic,,,Retired
9264,mutuelle,mutuelle,,,False,True,generic,generic,,,Retired
9265,nadex,nadex,,,False,True,generic,generic,,,Not assigned
9266,nationwide,nationwide,,,False,True,generic,generic,,,Not assigned
9267,newholland,newholland,,,False,True,generic,generic,,,Not assigned
9268,off,off,,,False,True,generic,generic,,,Not assigned
9269,onyourside,onyourside,,,False,True,generic,generic,,,Not assigned
9270,orientexpress,orientexpress,,,False,True,generic,generic,,,Retired
9271,pamperedchef,pamperedchef,,,False,True,generic,generic,,,Not assigned
9272,panerai,panerai,,,False,True,generic,generic,,,Not assigned
9273,piaget,piaget,,,False,True,generic,generic,,,Not assigned
9274,qvc,qvc,,,False,True,generic,generic,,,Not assigned
9275,raid,raid,,,False,True,generic,generic,,,Not assigned
9276,rightathome,rightathome,,,False,True,generic,generic,,,Not assigned
9277,rmit,rmit,,,False,True,generic,generic,,,Not assigned
9278,sapo,sapo,,,False,True,generic,generic,,,Not assigned
9279,scjohnson,scjohnson,,,False,True,generic,generic,,,Not assigned
9280,scor,scor,,,False,True,generic,generic,,,Not assigned
9281,shriram,shriram,,,False,True,generic,generic,,,Not assigned
9282,spiegel,spiegel,,,False,True,generic,generic,,,Not assigned
9283,spreadbetting,spreadbetting,,,False,True,generic,generic,,,Not assigned
9284,srt,srt,,,False,True,generic,generic,,,Not assigned
9285,starhub,starhub,,,False,True,generic,generic,,,Not assigned
9286,statoil,statoil,,,False,True,generic,generic,,,Not assigned
9287,swiftcover,swiftcover,,,False,True,generic,generic,,,Not assigned
9288,symantec,symantec,,,False,True,generic,generic,,,Not assigned
9289,telecity,telecity,,,False,True,generic,generic,,,Not assigned
9290,telefonica,telefonica,,,False,True,generic,generic,,,Not assigned
9291,tp,tp,,,False,True,country-code,country-code,,,Retired
9292,uconnect,uconnect,,,False,True,generic,generic,,,Not assigned
9293,um,um,,,False,True,country-code,country-code,,,Not assigned
9294,vista,vista,,,False,True,generic,generic,,,Not assigned
9295,vistaprint,vistaprint,,,False,True,generic,generic,,,Not assigned
9296,warman,warman,,,False,True,generic,generic,,,Not assigned
9297,wed,wed,,,False,True,generic,generic,,,Emergency Back-End Registry Operator Program - ICANN
9298,测试,测试,xn--0zwm56d,,False,True,test,test,,,Internet Assigned Numbers Authority
9299,परीक्षा,परीक्षा,xn--11b5bs3a9aj6g,,False,True,test,test,,,Internet Assigned Numbers Authority
9300,大众汽车,大众汽车,xn--3oq18vl8pn36a,,False,True,generic,generic,,,Not assigned
9301,ישראל,ישראל,xn--4dbrk0ce,,False,True,country-code,country-code,,,The Israel Internet Association (RA)
9302,испытание,испытание,xn--80akhbyknj4f,,False,True,test,test,,,Internet Assigned Numbers Authority
9303,테스트,테스트,xn--9t4b11yi5a,,False,True,test,test,,,Internet Assigned Numbers Authority
9304,טעסט,טעסט,xn--deba0ad,,False,True,test,test,,,Internet Assigned Numbers Authority
9305,工行,工行,xn--estv75g,,False,True,generic,generic,,,Not assigned
9306,測試,測試,xn--g6w251d,,False,True,test,test,,,Internet Assigned Numbers Authority
9307,آزمایشی,آزمایشی,xn--hgbk6aj7f53bba,,False,True,test,test,,,Internet Assigned Numbers Authority
9308,பரிட்சை,பரிட்சை,xn--hlcj6aya9esc7a,,False,True,test,test,,,Internet Assigned Numbers Authority
9309,δοκιμή,δοκιμή,xn--jxalpdlp,,False,True,test,test,,,Internet Assigned Numbers Authority
9310,إختبار,إختبار,xn--kgbechtv,,False,True,test,test,,,Internet Assigned Numbers Authority
9311,手表,手表,xn--kpu716f,,False,True,generic,generic,,,Not assigned
9312,موبايلي,موبايلي,xn--mgbb9fbpob,,False,True,generic,generic,,,Not assigned
9313,珠宝,珠宝,xn--pbt977c,,False,True,generic,generic,,,Not assigned
9314,テスト,テスト,xn--zckzah,,False,True,test,test,,,Internet Assigned Numbers Authority
9315,xperia,xperia,,,False,True,generic,generic,,,Not assigned
9316,zippo,zippo,,,False,True,generic,generic,,,Not assigned
